priref,lref,soort,url,personen
244466,9333591,black and white photograph,https://media.rkd.nl/iiif/9333591/full/max/0/default.jpg,"[{'nummer': '109791', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
245556,9289384,black-and-white reproduction,https://media.rkd.nl/iiif/9289384/full/max/0/default.jpg,[]
246091,10642047,digital image,https://media.rkd.nl/iiif/10642047/full/max/0/default.jpg,[]
247604,10643558,digital image,https://media.rkd.nl/iiif/10643558/full/max/0/default.jpg,[]
248719,10644649,digital image,https://media.rkd.nl/iiif/10644649/full/max/0/default.jpg,"[{'nummer': '205237', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
248778,10644652,digital image,https://media.rkd.nl/iiif/10644652/full/max/0/default.jpg,"[{'nummer': '205238', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
248778,10644653,digital image,https://media.rkd.nl/iiif/10644653/full/max/0/default.jpg,"[{'nummer': '205238', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
248778,10644654,digital image,https://media.rkd.nl/iiif/10644654/full/max/0/default.jpg,"[{'nummer': '205238', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
248880,10644869,BD/Digital Collection,https://media.rkd.nl/iiif/10644869/full/max/0/default.jpg,[]
248895,10644885,BD/Digital Collection,https://media.rkd.nl/iiif/10644885/full/max/0/default.jpg,"[{'nummer': '105278', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
248982,10348710,digital color photograph,https://media.rkd.nl/iiif/10348710/full/max/0/default.jpg,[]
248982,10657423,digital image,https://media.rkd.nl/iiif/10657423/full/max/0/default.jpg,[]
249682,10645536,black and white photograph,https://media.rkd.nl/iiif/10645536/full/max/0/default.jpg,[]
250185,10901742,digital image,https://media.rkd.nl/iiif/10901742/full/max/0/default.jpg,[]
254046,9334423,color reproduction,https://media.rkd.nl/iiif/9334423/full/max/0/default.jpg,"[{'nummer': '205692', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
254118,9303692,digital color photograph,https://media.rkd.nl/iiif/9303692/full/max/0/default.jpg,[]
254408,10649310,digital image,https://media.rkd.nl/iiif/10649310/full/max/0/default.jpg,"[{'nummer': '205725', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
255438,10650128,digital image,https://media.rkd.nl/iiif/10650128/full/max/0/default.jpg,[]
255721,10650301,BD/Digital Collection,https://media.rkd.nl/iiif/10650301/full/max/0/default.jpg,[]
257213,10651675,color photograph,https://media.rkd.nl/iiif/10651675/full/max/0/default.jpg,"[{'nummer': '105701', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
262137,10655800,digital color photograph,https://media.rkd.nl/iiif/10655800/full/max/0/default.jpg,[]
263095,10348651,digital image,https://media.rkd.nl/iiif/10348651/full/max/0/default.jpg,"[{'nummer': '206313', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
263097,10348652,digital image,https://media.rkd.nl/iiif/10348652/full/max/0/default.jpg,"[{'nummer': '206313', 'zekerheid': None, 'beschrijving': 'second from the left', 'status': 'huidig'}, {'nummer': '206314', 'zekerheid': None, 'beschrijving': 'far right', 'status': 'huidig'}, {'nummer': '206315', 'zekerheid': None, 'beschrijving': 'far left', 'status': 'huidig'}, {'nummer': '206317', 'zekerheid': None, 'beschrijving': 'center', 'status': 'huidig'}, {'nummer': '206318', 'zekerheid': None, 'beschrijving': 'second from the right', 'status': 'huidig'}]"
263101,10348654,digital image,https://media.rkd.nl/iiif/10348654/full/max/0/default.jpg,"[{'nummer': '206315', 'zekerheid': None, 'beschrijving': 'on the right', 'status': 'huidig'}, {'nummer': '206317', 'zekerheid': None, 'beschrijving': 'on the left', 'status': 'huidig'}, {'nummer': '206318', 'zekerheid': None, 'beschrijving': 'in the middle', 'status': 'huidig'}]"
263144,10348660,digital image,https://media.rkd.nl/iiif/10348660/full/max/0/default.jpg,"[{'nummer': '206314', 'zekerheid': None, 'beschrijving': None, 'status': 'huidig'}]"
