priref,artist_name,date,objectcat,lrefs_in_xml,reason
125327,"Mierevelt, Michiel van",1624,painting,10783267,only excluded placeholder lrefs available: 10783267
125328,"Mierevelt, Michiel van",1636,painting,10783267,only excluded placeholder lrefs available: 10783267
125329,"Mierevelt, Michiel van",1636,painting,10783267,only excluded placeholder lrefs available: 10783267
125342,"Merck, Jacob van der",1630,painting,10783267,only excluded placeholder lrefs available: 10783267
125347,Anoniem,1623,painting,10783267,only excluded placeholder lrefs available: 10783267
125351,"Pot, Hendrick",1638,painting,10783267,only excluded placeholder lrefs available: 10783267
125354,Anoniem,1620,painting,10783267,only excluded placeholder lrefs available: 10783267
125355,"Hoogstraten, Samuel van",1653,painting,10783267,only excluded placeholder lrefs available: 10783267
125356,Anoniem,1644,painting,10783267,only excluded placeholder lrefs available: 10783267
125357,Anoniem,1627,painting,10783267,only excluded placeholder lrefs available: 10783267
125358,"Claesz, Jan (I)",1605,painting,10783267,only excluded placeholder lrefs available: 10783267
125359,Anoniem,1650,painting,10783267,only excluded placeholder lrefs available: 10783267
125360,"Keyser, Thomas de",1624,painting,10783267,only excluded placeholder lrefs available: 10783267
125361,"Palamedes, Anthonie",1644,painting,10783267,only excluded placeholder lrefs available: 10783267
125364,"Delff, Jacob Willemsz. (II)",1639,painting,10783267,only excluded placeholder lrefs available: 10783267
125366,"Mierevelt, Michiel van",1602,painting,10783267,only excluded placeholder lrefs available: 10783267
125367,Anoniem,1650,painting,10783267,only excluded placeholder lrefs available: 10783267
125368,Anoniem,1655,painting,10783267,only excluded placeholder lrefs available: 10783267
125369,Anoniem,1660,painting,10783267,only excluded placeholder lrefs available: 10783267
125371,Anoniem,1636,painting,10783267,only excluded placeholder lrefs available: 10783267
125372,Anoniem,1640,painting,10783267,only excluded placeholder lrefs available: 10783267
125374,Anoniem,1638,painting,10783267,only excluded placeholder lrefs available: 10783267
125375,Anoniem,1627,painting,10783267,only excluded placeholder lrefs available: 10783267
125377,"Borch, Gerard ter (II)",1652,painting,10783267,only excluded placeholder lrefs available: 10783267
125378,"Mierevelt, Michiel van",1629,painting,10783267,only excluded placeholder lrefs available: 10783267
125379,"Ravesteyn, Jan van",1627,painting,10783267,only excluded placeholder lrefs available: 10783267
